YearStart,YearEnd,LocationAbbr,LocationDesc,Topic,Question,DataValue,DataValueUnit,DataValueType,StratificationCategory1,Stratification1,StratificationCategory2,Stratification2
2020,2020,OR,Oregon,Mental Health,Depression among adults,16.0,%,Crude Prevalence,Race/Ethnicity,"Asian, non-Hispanic",,Overall
2020,2020,OR,Oregon,Mental Health,Depression among adults,19.6,%,Crude Prevalence,Age,Age 45-64,,Overall
2020,2020,OK,Oklahoma,Mental Health,Depression among adults,29.3,%,Crude Prevalence,Sex,Female,,Overall
2020,2020,OK,Oklahoma,Mental Health,Average mentally unhealthy days among adults,2.9,Number,Crude Mean,Sex,Female,,Overall
2020,2020,PA,Pennsylvania,Mental Health,Postpartum depressive symptoms among women with a recent live birth,12.9,%,Crude Prevalence,Overall,Overall,,Overall
2020,2020,RI,Rhode Island,Mental Health,Frequent mental distress among adults,16.6,%,Crude Prevalence,Age,Age 18-44,,Overall
2020,2020,ND,North Dakota,Mental Health,Average mentally unhealthy days among adults,2.9,Number,Crude Mean,Sex,Male,,Overall
2020,2020,OK,Oklahoma,Mental Health,Frequent mental distress among adults,18.0,%,Crude Prevalence,Age,Age 18-44,,Overall
2020,2020,RI,Rhode Island,Mental Health,Average mentally unhealthy days among adults,2.9,Number,Age-adjusted Mean,Race/Ethnicity,"White, non-Hispanic",,Overall
2020,2020,NC,North Carolina,Mental Health,Frequent mental distress among adults,11.9,%,Age-adjusted Prevalence,Race/Ethnicity,"Black, non-Hispanic",,Overall
2020,2020,OK,Oklahoma,Mental Health,Frequent mental distress among adults,23.4,%,Crude Prevalence,Race/Ethnicity,"Multiracial, non-Hispanic",,Overall
2020,2020,OH,Ohio,Mental Health,Depression among adults,22.0,%,Crude Prevalence,Overall,Overall,,Overall
2020,2020,PA,Pennsylvania,Mental Health,Average mentally unhealthy days among adults,3.4,Number,Crude Mean,Age,Age 45-64,,Overall
2020,2020,ND,North Dakota,Mental Health,Depression among adults,25.3,%,Crude Prevalence,Sex,Female,,Overall
2020,2020,NC,North Carolina,Mental Health,Frequent mental distress among adults,8.6,%,Age-adjusted Prevalence,Race/Ethnicity,Hispanic,,Overall
2020,2020,OR,Oregon,Mental Health,Average mentally unhealthy days among adults,3.6,Number,Crude Mean,Age,Age 45-64,,Overall
2020,2020,OH,Ohio,Mental Health,Average mentally unhealthy days among adults,3.1,Number,Crude Mean,Age,Age 18-44,,Overall
2020,2020,TN,Tennessee,Mental Health,Average mentally unhealthy days among adults,2.9,Number,Crude Mean,Age,Age 18-44,,Overall
2020,2020,NY,New York,Mental Health,Average mentally unhealthy days among adults,3.7,Number,Age-adjusted Mean,Race/Ethnicity,"Asian, non-Hispanic",,Overall
2020,2020,ND,North Dakota,Mental Health,Frequent mental distress among adults,8.8,%,Age-adjusted Prevalence,Sex,Male,,Overall
